audio_path,duration_ms,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,zero_crossing_rate_mean,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,chroma_mean,chroma_std,dominant_pitch_class,rms_mean,rms_std,loudness,danceability,energy,valence,acousticness,instrumentalness,speechiness,liveness,key,mode
Audio_Samples/The Lumineers - Leader Of The Landslide.mp3,22746,83.35433467741936,1815.470004549527,556.0347814180107,3456.89208984375,1913.0165484445895,0.09175552056760204,-96.71166229248047,40.76041030883789,125.29010009765625,27.137468338012695,-37.933860778808594,15.574787139892578,3.920058012008667,11.073034286499023,-14.999041557312012,11.7819185256958,-12.622565269470215,8.266048431396484,-13.441597938537598,8.334359169006348,-8.077116966247559,7.3742241859436035,-21.112598419189453,6.742934703826904,-5.263995170593262,6.6835036277771,-13.469109535217285,6.581786632537842,-3.365450143814087,5.86547327041626,-8.614811897277832,5.716005325317383,0.34455356001853943,0.29230797290802,1,0.12902861833572388,0.0470249243080616,-17.786277770996094,0.5799443417216498,0.1684594303369522,0.38919769335086235,0.6408453682201275,0.7716803550720215,0.524823258257452,0.44135022163391113,1,1
Audio_Samples/Lil Tecca - 500lbs.mp3,29712,123.046875,2735.44210066712,1157.738817880609,6001.90092086792,2833.459207739037,0.11535148620605469,-31.436498641967773,46.1197395324707,84.57064056396484,37.31626892089844,12.331453323364258,27.160503387451172,0.6594741940498352,20.38325309753418,8.051905632019043,20.290616989135742,2.623279094696045,16.53653335571289,-2.970705509185791,16.203157424926758,5.051058769226074,15.73236083984375,-9.237092971801758,14.40205192565918,5.013472557067871,13.869340896606445,-3.037249803543091,11.511467933654785,4.837934970855713,10.637677192687988,-1.578271746635437,10.81368350982666,0.41531842947006226,0.29612842202186584,10,0.31548553705215454,0.1553175449371338,-10.020410537719727,0.7914480858146969,0.34943854808807373,0.4834790527550993,0.6148729921710963,0.7348785400390625,0.5039780173450709,0.4597914218902588,7,0
Audio_Samples/Luniz - I Got 5 On It.mp3,29712,172.265625,2385.03119946859,895.5082372827751,5060.622367858887,2407.1699769692705,0.1214813232421875,-81.72478485107422,59.157833099365234,82.65562438964844,36.39625930786133,-11.844461441040039,36.545406341552734,10.126657485961914,22.389759063720703,-14.96655559539795,19.64371681213379,7.918628692626953,16.912551879882812,-2.6450247764587402,16.841812133789062,8.564105033874512,13.048860549926758,-1.9751895666122437,11.899923324584961,5.882923603057861,11.602901458740234,-5.107468605041504,13.058998107910156,0.04387257248163223,10.520840644836426,-1.894046425819397,10.631476402282715,0.3828657865524292,0.3051755130290985,5,0.20875616371631622,0.10928696393966675,-13.607213973999023,0.5261108225727078,0.2617979645729065,0.5254047580512382,0.5393432764735779,0.6974411010742188,0.5868445479311049,0.43899792432785034,5,1
Audio_Samples/Tasha Layton - Worship Through It.mp3,24140,161.4990234375,2242.0953956450185,396.55394560465544,4837.589369553786,2400.5030495591336,0.09673274113581731,-52.860809326171875,20.79540252685547,98.046142578125,14.73136043548584,-13.045061111450195,14.608026504516602,22.506906509399414,9.204153060913086,-0.6298267841339111,6.946170330047607,12.702914237976074,7.735202789306641,1.0938290357589722,7.329021453857422,9.319103240966797,5.6572089195251465,3.1647417545318604,6.251869201660156,9.862878799438477,6.419291019439697,-0.03196965903043747,5.554439067840576,4.260834217071533,5.755523681640625,-1.1566188335418701,5.80772590637207,0.4026305079460144,0.2758156955242157,8,0.14972731471061707,0.019947025924921036,-16.493980407714844,0.5636389896752,0.20111963152885437,0.5556946686829574,0.6823557699588197,0.8185275793075562,0.4264185789256142,0.4115638732910156,1,0
Audio_Samples/Toby Fox - Your Best Nightmare.mp3,29712,95.703125,3827.5103216506263,587.5888760678909,7985.95006942749,3256.234273486634,0.23434486389160156,-11.050663948059082,43.702938079833984,46.46419143676758,18.253419876098633,32.23435974121094,16.456430435180664,21.76751136779785,9.28208065032959,3.5383002758026123,6.798293113708496,15.316408157348633,8.635041236877441,5.300778865814209,7.970408916473389,8.220848083496094,6.8522868156433105,0.5535348653793335,7.90398645401001,3.5572686195373535,6.75253438949585,2.2677619457244873,7.639842987060547,4.868842124938965,7.440583229064941,-3.020902395248413,6.580891132354736,0.5675632357597351,0.24207769334316254,1,0.184647798538208,0.034496329724788666,-14.673117637634277,0.6743120949434801,0.23804205656051636,0.435700034492183,0.4709204469958746,0.7840644717216492,0.9543814126402139,0.3528321485338832,2,1
Audio_Samples/Jared Benjamin - Beauty In The Hurting.mp3,23408,83.35433467741936,1928.8357550495286,865.1695803630909,4050.7817823185082,2236.681814820196,0.08145828171456888,-35.61912155151367,38.17582321166992,117.22532653808594,35.821311950683594,-4.742910385131836,18.90892791748047,25.495586395263672,14.559087753295898,10.167515754699707,10.389032363891602,13.28501033782959,8.302422523498535,5.51020622253418,9.909533500671387,8.236394882202148,7.043319225311279,-1.3187464475631714,7.570146560668945,2.787750720977783,8.665539741516113,-6.078092098236084,7.456933975219727,3.8539531230926514,7.046457290649414,-1.6697207689285278,8.024557113647461,0.3483940064907074,0.29183483123779297,0,0.27149924635887146,0.03333692625164986,-11.324626922607422,0.577657010194317,0.2981795072555542,0.3988022701415043,0.7279229829048558,0.7270572185516357,0.48575397442497414,0.4056425094604492,0,1
Audio_Samples/Unlike Pluto - Red Dress.mp3,29712,123.046875,2141.4026835158156,796.6066607942927,4832.908744812012,2569.0540667033774,0.06198539733886719,-59.89104461669922,60.082332611083984,83.7920913696289,31.58092498779297,7.937722682952881,36.18611526489258,37.430747985839844,12.685011863708496,18.246723175048828,11.500655174255371,19.31736946105957,10.952688217163086,15.354690551757812,9.591896057128906,13.665855407714844,13.705179214477539,5.413499355316162,9.637187004089355,8.635350227355957,9.767525672912598,5.241312503814697,7.930155277252197,4.66978120803833,7.965787410736084,2.783783197402954,7.2480292320251465,0.46110057830810547,0.2861897945404053,8,0.32400932908058167,0.10253534466028214,-9.788849830627441,0.7872778002877019,0.3591448664665222,0.4519474751597623,0.6638105339025567,0.7387306690216064,0.43586931433528664,0.42178139090538025,2,1
Audio_Samples/Jelly Roll - Time of Day (with mgk).mp3,15608,151.99908088235293,2497.258718417145,1107.8489068411086,5020.499904230126,2532.040341086419,0.11851013999814264,-27.7797794342041,29.244979858398438,97.80268096923828,41.04777908325195,-8.323814392089844,24.551284790039062,6.407027721405029,14.983564376831055,7.3037109375,12.177018165588379,-7.203980445861816,11.69097900390625,-11.784233093261719,11.468571662902832,-5.351048946380615,10.716255187988281,-11.492117881774902,13.244630813598633,-7.55011510848999,8.88636302947998,-6.749671936035156,10.241658210754395,-7.002745628356934,7.542054653167725,-7.222941875457764,8.800782203674316,0.2971000075340271,0.28710049390792847,6,0.24937786161899567,0.05382809042930603,-12.062841415405273,0.6133306330197247,0.2708406150341034,0.4029587230691742,0.6677914668384868,0.7435379028320312,0.5172411120983801,0.4172072410583496,11,1
Audio_Samples/Lil Wayne - Dedicate.mp3,29712,117.45383522727273,2404.8959267575037,915.9936807792895,5388.810253143311,2688.7421565144814,0.07240066528320313,-70.8862075805664,55.25407028198242,75.01617431640625,33.485145568847656,15.125909805297852,27.278831481933594,32.31266403198242,19.70163917541504,18.740020751953125,14.42203140258789,13.90796184539795,14.970407485961914,-0.961709201335907,14.11929702758789,16.33016014099121,14.969240188598633,1.2088197469711304,11.170639991760254,7.354637145996094,11.217447280883789,5.499984264373779,9.845776557922363,4.151614189147949,9.208586692810059,0.16571760177612305,9.922670364379883,0.44343316555023193,0.3146328926086426,5,0.30714303255081177,0.12875878810882568,-10.253186225891113,0.786869597343128,0.35263681411743164,0.4809801252552781,0.5937592789498627,0.7111918330192566,0.43261995837092404,0.4343723654747009,9,1
Audio_Samples/叶里 - 流萤 - 网剧《遇龙》宣传曲.mp3,29712,103.359375,2265.840001321243,739.3852461331809,4950.6684494018555,2573.040466421723,0.08342514038085938,-25.371891021728516,28.269283294677734,93.87188720703125,26.851119995117188,9.085078239440918,12.161884307861328,27.763477325439453,13.496211051940918,-0.22975191473960876,9.591090202331543,5.1594014167785645,9.813488006591797,6.794036865234375,10.215808868408203,-4.262175559997559,9.539825439453125,2.814685821533203,9.146858215332031,-2.0109057426452637,8.69861888885498,-9.42971420288086,8.840325355529785,-4.423853397369385,7.355632781982422,-8.269886016845703,9.146647453308105,0.26279228925704956,0.30167052149772644,8,0.3138415813446045,0.06887447088956833,-10.065790176391602,0.7259044718545359,0.3384059965610504,0.41372244201081615,0.6964712874360526,0.7342181205749512,0.385778262000531,0.40880286693573,5,0
Audio_Samples/Johnny Drille - Bad Dancer.mp3,29712,89.10290948275862,2015.1885832359433,678.5350037366154,4527.751293182373,2484.8816307017655,0.07331275939941406,-92.43250274658203,40.5560188293457,105.20088195800781,26.15149688720703,11.558423042297363,18.613815307617188,21.967266082763672,13.971816062927246,12.928570747375488,11.554381370544434,4.385214328765869,9.369285583496094,-8.849983215332031,8.365187644958496,11.92670726776123,8.29782772064209,-5.942782402038574,8.773965835571289,2.405296802520752,8.844962120056152,-2.5325169563293457,8.561307907104492,-1.967978835105896,7.59022855758667,-6.038468360900879,6.969160079956055,0.327799528837204,0.2965702712535858,6,0.16885733604431152,0.050440020859241486,-15.449601173400879,0.6205828857257123,0.23691222071647644,0.3635288135863081,0.6514830932297944,0.7152242064476013,0.4315811258275062,0.4188130497932434,11,1
